password_reuse,password_strength,password_change_freq,mfa_usage,click_unknown_links,verify_sender,report_suspicious_email,past_phishing_victim,training_completion,training_engagement,device_type,public_wifi_usage,unknown_usb_usage,social_media_oversharing,screen_lock_habit,credential_sharing,department,risk_level
,"Long & random (12+ chars, mixed)",Every 1-3 months,,Never,Sometimes,Ignore it,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,"Yes, if it looks harmless",Never,Sometimes,Never,IT,Moderate
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Always,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Frequently,Always,Never,Finance,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Never,Report to IT/Security,Never,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,Never,Frequently,Always,Never,Sales & Marketing,Low
Never,Simple (name/birthdate/common word),Every 6-12 months,Always,Sometimes,Never,Delete it,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Rarely,Only after scanning it,Never,Sometimes,Once,Finance,Moderate
Sometimes,Medium (word + numbers),Every 6-12 months,Always,Never,Always,Report to IT/Security,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Frequently,Always,Occasionally,IT,Moderate
Always,Medium (word + numbers),Every 6-12 months,Never,"Yes, likely",Always,Report to IT/Security,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Never,Always,Once,HR,Low
Often,Simple (name/birthdate/common word),Never,Sometimes,Rarely,Always,Open it to check,Once,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Rarely,"Yes, if it looks harmless",Never,Always,Occasionally,IT,Low
Never,"Long & random (12+ chars, mixed)",Never,Sometimes,Sometimes,Sometimes,Delete it,Once,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Only after scanning it,Never,Sometimes,Never,Operations,Moderate
Never,Simple (name/birthdate/common word),Every 1-3 months,Never,,Always,Open it to check,More than once,Never,Attend but forget,Company-issued & managed,Rarely,Never,Occasionally,Always,Never,Sales & Marketing,Low
Never,Simple (name/birthdate/common word),Never,Sometimes,Rarely,Never,Ignore it,Once,Never,Skip when possible,Personal device (BYOD),Never,"Yes, if it looks harmless",Never,Sometimes,Occasionally,Sales & Marketing,High
Sometimes,Simple (name/birthdate/common word),Rarely,Always,Never,Never,Ignore it,More than once,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Frequently,Only after scanning it,Never,Always,Occasionally,IT,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,,"Yes, likely",Never,,Never,"Yes, but over a year ago",Skip when possible,Shared/public device,Never,"Yes, if it looks harmless",Never,Sometimes,Never,HR,Moderate
Always,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,Rarely,Always,Delete it,Never,"Yes, recently (within 6 months)",Skip when possible,Company-issued & managed,Never,Only after scanning it,Occasionally,Always,Once,IT,Low
Always,Medium (word + numbers),Never,Never,Never,Always,Delete it,Once,"Yes, but over a year ago",Attend but forget,Company-issued & managed,Frequently,Never,Occasionally,Always,Occasionally,Other,Moderate
Often,Medium (word + numbers),Never,Always,Never,Always,Open it to check,Once,Never,Attend but forget,Company-issued & managed,Never,Never,Occasionally,Always,Once,Finance,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Sometimes,Report to IT/Security,Once,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Only after scanning it,Never,Always,Once,Sales & Marketing,Low
Sometimes,Medium (word + numbers),Never,Never,"Yes, likely",Never,Open it to check,More than once,Never,Attend but forget,Shared/public device,Never,"Yes, if it looks harmless",Occasionally,Sometimes,Occasionally,Operations,High
Often,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Rarely,"Yes, if it looks harmless",Occasionally,Never,Occasionally,HR,Low
Never,"Long & random (12+ chars, mixed)",Never,Sometimes,Never,Sometimes,Ignore it,More than once,Never,"Very seriously, apply what I learn",Shared/public device,Rarely,Never,Never,Never,Occasionally,Other,Moderate
Always,Medium (word + numbers),Rarely,Never,Sometimes,Never,Delete it,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Rarely,"Yes, if it looks harmless",Occasionally,Never,Never,Finance,High
Never,"Long & random (12+ chars, mixed)",Never,Never,Sometimes,Never,Open it to check,Never,"Yes, but over a year ago",Attend but forget,Shared/public device,Never,"Yes, if it looks harmless",Never,Never,Never,Operations,Moderate
Always,Simple (name/birthdate/common word),Never,Sometimes,"Yes, likely",Never,Delete it,Never,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Always,Occasionally,Sales & Marketing,High
Never,"Long & random (12+ chars, mixed)",Never,Never,Never,Sometimes,Report to IT/Security,Once,Never,"Very seriously, apply what I learn",Shared/public device,Rarely,Never,Never,Sometimes,Occasionally,Other,Moderate
Often,Medium (word + numbers),Rarely,Always,Never,Always,Ignore it,Never,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Never,Only after scanning it,Never,Never,Never,Sales & Marketing,Low
Sometimes,"Long & random (12+ chars, mixed)",Never,Sometimes,Never,Always,Report to IT/Security,Never,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Never,"Yes, if it looks harmless",Occasionally,Sometimes,Once,Finance,Low
Never,Simple (name/birthdate/common word),Never,Always,"Yes, likely",Sometimes,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Frequently,Always,Occasionally,Sales & Marketing,Moderate
Never,"Long & random (12+ chars, mixed)",,Always,Never,Sometimes,Report to IT/Security,Once,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,Never,Never,Always,Once,Other,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,Never,Always,Report to IT/Security,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Always,Never,Sales & Marketing,Low
Never,Medium (word + numbers),Every 1-3 months,Always,Rarely,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Never,Never,Occasionally,Always,Never,Finance,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,"Yes, likely",Always,Open it to check,Once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,Never,Frequently,Sometimes,Occasionally,Sales & Marketing,Moderate
Never,Medium (word + numbers),Every 6-12 months,Sometimes,Never,Always,Delete it,Once,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Never,Only after scanning it,Never,Never,Never,Sales & Marketing,Low
Never,Medium (word + numbers),Every 1-3 months,Sometimes,"Yes, likely",Never,Report to IT/Security,Never,Never,"Very seriously, apply what I learn",Shared/public device,Frequently,Never,Occasionally,Sometimes,Once,IT,Moderate
Often,Medium (word + numbers),Never,Never,"Yes, likely",Sometimes,,More than once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Rarely,Only after scanning it,Occasionally,Never,Once,Finance,High
Always,Medium (word + numbers),Never,Never,Sometimes,Always,Open it to check,Never,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Never,"Yes, if it looks harmless",Frequently,Always,Never,Other,Moderate
Always,Medium (word + numbers),Never,Sometimes,"Yes, likely",Never,Open it to check,Once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Always,Once,Sales & Marketing,High
Often,"Long & random (12+ chars, mixed)",,Always,Never,Never,Report to IT/Security,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,"Yes, if it looks harmless",Never,Never,Once,Sales & Marketing,Low
Sometimes,Simple (name/birthdate/common word),Never,Always,"Yes, likely",Always,Report to IT/Security,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Never,Never,Frequently,Never,Never,Sales & Marketing,Moderate
Always,Medium (word + numbers),Every 6-12 months,Always,"Yes, likely",Always,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Rarely,Never,Never,Always,Never,IT,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,Never,Always,Report to IT/Security,More than once,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Rarely,Only after scanning it,Never,Always,Never,Finance,Low
Never,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Never,Operations,High
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,Never,Never,Report to IT/Security,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Only after scanning it,Occasionally,Always,Never,Operations,Low
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,"Yes, likely",Always,Ignore it,Never,Never,Attend but forget,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Never,Once,HR,Moderate
Sometimes,Medium (word + numbers),Rarely,Always,Rarely,Sometimes,Open it to check,Once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Never,Never,Occasionally,Sometimes,Occasionally,HR,Moderate
Never,Simple (name/birthdate/common word),Rarely,Sometimes,Never,Sometimes,Open it to check,Never,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Never,Occasionally,Sometimes,Once,Other,Low
Never,,Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,,"Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Sometimes,Never,HR,Low
Always,Medium (word + numbers),Every 6-12 months,Never,Rarely,Sometimes,Delete it,Once,Never,Attend but forget,Company-issued & managed,Rarely,Never,Occasionally,Never,Occasionally,HR,High
Often,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Never,Ignore it,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Frequently,,Occasionally,,Never,Operations,Moderate
Always,Simple (name/birthdate/common word),Rarely,Never,Sometimes,Always,Open it to check,More than once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Sometimes,Once,Finance,Severe
Always,Medium (word + numbers),Every 1-3 months,Never,Rarely,Always,Delete it,More than once,Never,Attend but forget,Shared/public device,Rarely,"Yes, if it looks harmless",Never,,Occasionally,IT,High
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,Sales & Marketing,Severe
Never,Medium (word + numbers),Rarely,Never,Never,Never,Open it to check,Never,Never,Skip when possible,Shared/public device,Rarely,"Yes, if it looks harmless",Occasionally,Always,Occasionally,IT,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Sometimes,Ignore it,More than once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Never,Only after scanning it,Never,Always,Never,IT,Low
Often,Simple (name/birthdate/common word),Every 6-12 months,Never,"Yes, likely",Sometimes,Delete it,Never,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Always,Once,IT,Moderate
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,"Yes, likely",Never,Ignore it,More than once,Never,"Very seriously, apply what I learn",Shared/public device,Rarely,Only after scanning it,Never,Always,Occasionally,HR,Moderate
Often,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,Once,Never,Skip when possible,Company-issued & managed,Never,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,IT,High
Sometimes,Simple (name/birthdate/common word),Rarely,Never,Sometimes,Sometimes,Ignore it,More than once,Never,Skip when possible,Shared/public device,Frequently,Only after scanning it,Occasionally,Sometimes,Occasionally,Finance,High
Sometimes,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Sometimes,Never,Delete it,More than once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Frequently,Only after scanning it,Never,Sometimes,Never,Other,High
Often,Simple (name/birthdate/common word),Never,Sometimes,"Yes, likely",Always,Open it to check,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Frequently,Only after scanning it,Frequently,Never,Occasionally,Other,Moderate
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,Never,Never,Ignore it,Never,"Yes, recently (within 6 months)",Skip when possible,Company-issued & managed,Never,"Yes, if it looks harmless",Never,Always,Never,IT,Low
